target_id,callsign,timestamp,timestamp_source,time_source,message_seq,lat,lon,altitude,alt_type,speed,heading,vertical_rate,on_ground,status_flags,validity_flags,latitude_code,longitude_code,altitude_code,speed_code,heading_code,vertical_rate_code,lat_valid,lon_valid,altitude_valid,speed_valid,heading_valid,vertical_rate_valid,callsign_valid,checksum,expected_checksum,message_valid,validation_errors,source
780abc,CES1234,1710000060,time_position,position_time,0,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,false,0,127,2824872,3512422,10800,2305,8600,32768,true,true,true,true,true,true,true,2677,2677,true,[],encoded_messages.bin
000001,TEST0001,1710000090,time_position,position_time,1,2.1457677235048322e-05,4.2915354470096645e-05,0.0,barometric,0.0,0.0,0.0,true,1,127,2097152,2097152,1000,0,0,32768,true,true,true,true,true,true,true,1954,1954,true,[],encoded_messages.bin
780def,,1710000120,last_contact,last_contact_fallback,2,30.27410036900052,120.1551390064094,7600.0,geometric,,270.0,-1.1999999999999886,false,6,55,2802589,3497060,8600,0,27000,32648,true,true,true,false,true,true,false,2661,2661,true,[],encoded_messages.bin
780bee,BADHEAD,1710000120,time_position,position_time,3,22.54311383798452,114.05789710471561,9000.0,barometric,220.0,,0.0,false,0,111,2622444,3426022,10000,2200,0,32768,true,true,true,true,false,true,true,2844,2844,true,[],encoded_messages.bin
,,,,,,,,,unknown,,,,false,,,,,,,,,false,false,false,false,false,false,false,,,false,['LENGTH_ERROR'],synthetic:short_40bytes
,,,,,,,,,unknown,,,,false,,,,,,,,,false,false,false,false,false,false,false,,,false,['LENGTH_ERROR'],synthetic:long_42bytes
780abc,CES1234,1710000060,time_position,position_time,9001,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,false,0,127,2824872,3512422,10800,2305,8600,32768,true,true,true,true,true,true,true,2602,2602,false,['MAGIC_ERROR'],synthetic:bad_magic
780abc,CES1234,1710000060,time_position,position_time,9001,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,false,0,127,2824872,3512422,10800,2305,8600,32768,true,true,true,true,true,true,true,2754,2754,false,['VERSION_ERROR'],synthetic:bad_version
780abc,CES1234,1710000060,time_position,position_time,9001,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,false,0,127,2824872,3512422,10800,2305,8600,32768,true,true,true,true,true,true,true,2754,2754,false,['MESSAGE_TYPE_ERROR'],synthetic:bad_message_type
780abc,CES1234,1710000060,time_position,position_time,9001,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,false,0,127,2824872,3512422,10800,2305,8600,32768,true,true,true,true,true,true,true,2752,2752,false,['LENGTH_ERROR'],synthetic:bad_message_length
780abc,CES1234,1710000060,time_position,position_time,9001,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,false,0,127,2824872,3512422,10800,2305,8600,32768,true,true,true,true,true,true,true,3009,2753,false,['CHECKSUM_ERROR'],synthetic:bad_checksum
780abc,CES1234,1710000060,time_position,position_time,9001,571.2305119587211,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,false,0,127,15407784,3512422,10800,2305,8600,32768,true,true,true,true,true,true,true,2945,2945,false,['RESERVED_BITS_ERROR'],synthetic:lat_reserved_bits
780abc,CES1234,1710000060,time_position,position_time,9001,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,false,240,127,2824872,3512422,10800,2305,8600,32768,true,true,true,true,true,true,true,2993,2993,false,['RESERVED_BITS_ERROR'],synthetic:status_reserved_bits
780abc,CES1234,1710000060,time_position,position_time,9001,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,86.0,0.0,false,0,255,2824872,3512422,10800,2305,8600,32768,true,true,true,true,true,true,true,2881,2881,false,['RESERVED_BITS_ERROR'],synthetic:validity_reserved_bits
780abc,CES1234,1710000060,time_position,position_time,9001,31.230383212657742,121.47367035714876,9800.0,barometric,230.5,,0.0,false,0,111,2824872,3512422,10800,2305,8600,32768,true,true,true,true,false,true,true,2737,2737,false,['FLAG_VALUE_INCONSISTENCY'],synthetic:flag_value_inconsistency
