record_no,target_id,field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error,tolerance,absolute_error/tolerance,passed
0,780abc,latitude,31.2304,true,2824872,1,31.230383212657742,true,1.6787342257629234e-05,4.2915354470099084e-05,0.3911733332955615,true
0,780abc,longitude,121.4737,true,3512422,1,121.47367035714876,true,2.964285123141508e-05,8.583070894019817e-05,0.3453641662457721,true
0,780abc,altitude,9800.0,true,10800,1,9800.0,true,0.0,1.0,0.0,true
0,780abc,velocity,230.5,true,2305,1,230.5,true,0.0,0.1,0.0,true
0,780abc,heading,86.0,true,8600,1,86.0,true,0.0,0.01,0.0,true
0,780abc,vertical_rate,0.0,true,32768,1,0.0,true,0.0,0.01,0.0,true
0,780abc,callsign,CES1234,true,,1,CES1234,true,,,,true
0,780abc,timestamp,1710000060,true,,,1710000060,true,,,,true
0,780abc,target_id,780abc,true,,,780abc,true,,,,true
0,780abc,on_ground,false,true,,,false,true,,,,true
1,000001,latitude,0.0,true,2097152,1,2.1457677235048322e-05,true,2.1457677235048322e-05,4.2915354470099084e-05,0.4999999999999716,true
1,000001,longitude,0.0,true,2097152,1,4.2915354470096645e-05,true,4.2915354470096645e-05,8.583070894019817e-05,0.4999999999999716,true
1,000001,altitude,0.0,true,1000,1,0.0,true,0.0,1.0,0.0,true
1,000001,velocity,0.0,true,0,1,0.0,true,0.0,0.1,0.0,true
1,000001,heading,0.0,true,0,1,0.0,true,0.0,0.01,0.0,true
1,000001,vertical_rate,0.0,true,32768,1,0.0,true,0.0,0.01,0.0,true
1,000001,callsign,TEST0001,true,,1,TEST0001,true,,,,true
1,000001,timestamp,1710000090,true,,,1710000090,true,,,,true
1,000001,target_id,000001,true,,,000001,true,,,,true
1,000001,on_ground,true,true,,,true,true,,,,true
2,780def,latitude,30.2741,true,2802589,1,30.27410036900052,true,3.6900052080568457e-07,4.2915354470099084e-05,0.00859833328564914,true
2,780def,longitude,120.1551,true,3497060,1,120.1551390064094,true,3.9006409394914954e-05,8.583070894019817e-05,0.4544574998453333,true
2,780def,altitude,7600.0,true,8600,1,7600.0,true,0.0,1.0,0.0,true
2,780def,velocity,,false,0,0,,false,,0.1,,true
2,780def,heading,270.0,true,27000,1,270.0,true,0.0,0.01,0.0,true
2,780def,vertical_rate,-1.2,true,32648,1,-1.1999999999999886,true,1.1324274851176597e-14,0.01,1.1324274851176597e-12,true
2,780def,callsign,,false,,0,,false,,,,true
2,780def,timestamp,1710000120,true,,,1710000120,true,,,,true
2,780def,target_id,780def,true,,,780def,true,,,,true
2,780def,on_ground,false,true,,,false,true,,,,true
3,780bee,latitude,22.5431,true,2622444,1,22.54311383798452,true,1.383798452181395e-05,4.2915354470099084e-05,0.3224483332988768,true
3,780bee,longitude,114.0579,true,3426022,1,114.05789710471561,true,2.8952843962315455e-06,8.583070894019817e-05,0.033732500080464335,true
3,780bee,altitude,9000.0,true,10000,1,9000.0,true,0.0,1.0,0.0,true
3,780bee,velocity,220.0,true,2200,1,220.0,true,0.0,0.1,0.0,true
3,780bee,heading,,false,0,0,,false,,0.01,,true
3,780bee,vertical_rate,0.0,true,32768,1,0.0,true,0.0,0.01,0.0,true
3,780bee,callsign,BADHEAD,true,,1,BADHEAD,true,,,,true
3,780bee,timestamp,1710000120,true,,,1710000120,true,,,,true
3,780bee,target_id,780bee,true,,,780bee,true,,,,true
3,780bee,on_ground,false,true,,,false,true,,,,true
