record_no,target_id,field,source_value,source_valid,protocol_code,flag_bit,decoded_value,decoded_valid,absolute_error,tolerance,absolute_error/tolerance,passed
0,780abc,latitude,,,2824872,1,31.230383,True,,0.000043,,False
0,780abc,longitude,,,3512422,1,121.47367,True,,0.000086,,False
0,780abc,altitude,9800,True,10800,1,9800,True,0,1,0,True
0,780abc,velocity,,,2305,1,230.5,True,,0.1,,False
0,780abc,heading,86,True,8600,1,86,True,0,0.01,0,True
0,780abc,vertical_rate,0,True,32768,1,0,True,0,0.01,0,True
0,780abc,callsign,CES1234,True,,1,CES1234,True,,,,True
0,780abc,timestamp,1710000060,True,,1,1710000060,True,,,,True
0,780abc,target_id,780abc,True,,1,780abc,True,,,,True
0,780abc,on_ground,False,True,,1,False,True,,,,True
1,000001,latitude,,,2097152,1,0.000021,True,,0.000043,,False
1,000001,longitude,,,2097152,1,0.000043,True,,0.000086,,False
1,000001,altitude,0,True,1000,1,0,True,0,1,0,True
1,000001,velocity,,,0,1,0,True,,0.1,,False
1,000001,heading,0,True,0,1,0,True,0,0.01,0,True
1,000001,vertical_rate,0,True,32768,1,0,True,0,0.01,0,True
1,000001,callsign,TEST0001,True,,1,TEST0001,True,,,,True
1,000001,timestamp,1710000090,True,,1,1710000090,True,,,,True
1,000001,target_id,000001,True,,1,000001,True,,,,True
1,000001,on_ground,True,True,,1,True,True,,,,True
2,780def,latitude,,,2802589,1,30.2741,True,,0.000043,,False
2,780def,longitude,,,3497060,1,120.155139,True,,0.000086,,False
2,780def,altitude,7600,True,8600,1,7600,True,0,1,0,True
2,780def,velocity,,,0,0,,False,,0.1,,False
2,780def,heading,270,True,27000,1,270,True,0,0.01,0,True
2,780def,vertical_rate,-1.2,True,32648,1,-1.2,True,0,0.01,0,True
2,780def,callsign,,False,,0,,False,,,,True
2,780def,timestamp,1710000120,True,,1,1710000120,True,,,,True
2,780def,target_id,780def,True,,1,780def,True,,,,True
2,780def,on_ground,False,True,,1,False,True,,,,True
3,780bee,latitude,,,2622444,1,22.543114,True,,0.000043,,False
3,780bee,longitude,,,3426022,1,114.057897,True,,0.000086,,False
3,780bee,altitude,9000,True,10000,1,9000,True,0,1,0,True
3,780bee,velocity,,,2200,1,220,True,,0.1,,False
3,780bee,heading,,False,0,0,,False,,0.01,,True
3,780bee,vertical_rate,0,True,32768,1,0,True,0,0.01,0,True
3,780bee,callsign,BADHEAD,True,,1,BADHEAD,True,,,,True
3,780bee,timestamp,1710000120,True,,1,1710000120,True,,,,True
3,780bee,target_id,780bee,True,,1,780bee,True,,,,True
3,780bee,on_ground,False,True,,1,False,True,,,,True
